Question Type,Question,Correct Answer,Explanation,Option A,Option B,Option C,Option D
multiple_choice,"Từ nào thuộc root ""spect"" có nghĩa gần nhất với ""kiểm tra kỹ""?",inspect,"""inspect"" diễn tả hành động nhìn hoặc kiểm tra thật kỹ.",inspect,spectator,prospect,spectrum
multiple_choice,"Từ nào thuộc root ""spect"" chỉ ""khán giả""?",spectator,"""spectator"" là người xem hoặc khán giả của một sự kiện.",spectacle,spectator,respect,introspect
multiple_choice,"Nếu cần ""nhìn lại quá khứ"", từ nào phù hợp nhất?",retrospect,"""retrospect"" mang nghĩa nhìn lại hoặc hồi tưởng về quá khứ.",perspective,retrospect,prospect,circumspect
multiple_choice,"Từ nào thuộc root ""spect"" gần nghĩa nhất với ""triển vọng tương lai""?",prospect,"""prospect"" diễn tả triển vọng hoặc khả năng trong tương lai.",prospect,respect,spectrum,inspect
multiple_choice,"Từ nào thuộc root ""spect"" mang nghĩa ""tôn trọng""?",respect,"""respect"" là sự tôn trọng hoặc coi trọng người khác.",retrospect,respect,spectacle,perspective
multiple_choice,"Một buổi lễ rất ấn tượng và đáng nhìn có thể được gọi là gì?",spectacle,"""spectacle"" chỉ một cảnh tượng nổi bật, gây ấn tượng mạnh.",spectator,spectacle,introspect,prospect
text,"Viết từ thuộc root ""spect"" có nghĩa là ""phổ; dải"".",spectrum,"""spectrum"" là từ chỉ một phổ hoặc dải liên tục.",,,,
text,"Điền từ còn thiếu: Her _____ helped the team solve the issue.",perspective,"""perspective"" nghĩa là góc nhìn hoặc quan điểm giúp nhìn vấn đề rõ hơn.",,,,
text,"Viết từ thuộc root ""spect"" diễn tả hành động tự xem xét nội tâm.",introspect,"""introspect"" nghĩa là tự nhìn lại suy nghĩ và cảm xúc của bản thân.",,,,
text,"Viết tính từ thuộc root ""spect"" có nghĩa là thận trọng, cân nhắc rủi ro.",circumspect,"""circumspect"" mô tả trạng thái thận trọng trước khi hành động.",,,,
