Root Word,Meaning,Word List,Examples,Pronunciation
"spect","to look => nhìn; xem","inspect|respect|spectator|perspective|retrospect","Please inspect the report before sending it. => Hãy kiểm tra báo cáo trước khi gửi.|Her perspective helped the team stay calm. => Góc nhìn của cô ấy giúp cả nhóm giữ bình tĩnh.","/spekt/"
"dict","to say => nói; ra lệnh","dictate|dictionary|predict|verdict|contradict","The teacher will dictate the answer slowly. => Giáo viên sẽ đọc đáp án chậm rãi.|Analysts predict strong demand next quarter. => Các chuyên gia dự đoán nhu cầu sẽ cao trong quý tới.","/dikt/"
"port","to carry => mang; vận chuyển","transport|portable|import|export|support","This company can transport goods overnight. => Công ty này có thể vận chuyển hàng hóa qua đêm.|I need a portable charger for the trip. => Tôi cần một bộ sạc dễ mang theo cho chuyến đi.","/port/"
"struct","to build => xây; sắp xếp","construct|structure|instruct|obstruct|destruction","Workers will construct a new bridge here. => Công nhân sẽ xây một cây cầu mới ở đây.|Clear structure makes the lesson easier to follow. => Cấu trúc rõ ràng làm bài học dễ theo dõi hơn.","/strukt/"
"scrib","to write => viết","describe|prescribe|subscribe|transcript|scribble","Please describe the problem in one sentence. => Hãy mô tả vấn đề trong một câu.|He began to scribble notes during the talk. => Anh ấy bắt đầu viết nguệch ngoạc ghi chú trong buổi nói chuyện.","/skraib/"
"ject","to throw => ném; quăng","project|reject|inject|subject|interject","We will project the slides on the wall. => Chúng tôi sẽ chiếu các slide lên tường.|Please do not interject during the meeting. => Xin đừng xen vào trong cuộc họp.","/jekt/"
"tract","to pull => kéo; lôi","attract|contract|extract|distract|tractor","Bright colors attract young readers. => Màu sắc tươi sáng thu hút độc giả nhỏ tuổi.|Noise can distract students from their work. => Tiếng ồn có thể làm học sinh mất tập trung vào bài làm.","/trakt/"
"form","shape => hình dạng; tạo thành","transform|uniform|inform|formula|formation","Travel can transform the way you think. => Du lịch có thể thay đổi cách bạn suy nghĩ.|Please inform the class about the new schedule. => Hãy thông báo cho lớp về lịch mới.","/form/"
"vis","to see => thấy; nhìn thấy","visible|vision|revise|television|supervise","The stars were visible after the rain. => Những ngôi sao có thể nhìn thấy sau cơn mưa.|Please revise your notes before the test. => Hãy ôn lại ghi chú trước bài kiểm tra.","/viz/"
"aud","to hear => nghe","audio|audience|audible|audit|audition","The audience stayed quiet during the speech. => Khán giả giữ im lặng trong suốt bài phát biểu.|Her voice was barely audible in the hall. => Giọng của cô ấy hầu như không nghe rõ trong hội trường.","/awd/"
"duc","to lead => dẫn dắt","conduct|educate|introduce|produce|reduce","Our guide will conduct us through the museum. => Hướng dẫn viên sẽ dẫn chúng tôi đi qua bảo tàng.|Good teachers educate with patience. => Giáo viên giỏi dạy dỗ bằng sự kiên nhẫn.","/duhk/"
"rupt","to break => vỡ; phá","erupt|interrupt|bankrupt|corrupt|rupture","The volcano could erupt again tonight. => Núi lửa có thể phun trào lần nữa vào tối nay.|Please do not interrupt the speaker. => Xin đừng ngắt lời người nói.","/ruhrt/"
"press","to press => ép; nhấn","express|compress|depress|pressure|impress","She can express her ideas clearly. => Cô ấy có thể diễn đạt ý tưởng rất rõ ràng.|The final result will impress the clients. => Kết quả cuối cùng sẽ gây ấn tượng với khách hàng.","/pres/"
"cede","to go => đi; nhường","precede|recede|succeed|exceed|procedure","Warm water recedes after the tide changes. => Nước ấm rút đi sau khi thủy triều đổi chiều.|Strong habits often precede success. => Thói quen tốt thường đi trước thành công.","/seed/"
"pend","to hang => treo; phụ thuộc","depend|suspend|append|pending|independent","Children depend on adults for safety. => Trẻ em phụ thuộc vào người lớn để được an toàn.|The final decision is still pending. => Quyết định cuối cùng vẫn đang chờ xử lý.","/pend/"
"grad","to step => bước; cấp độ","grade|graduate|gradual|degrade|upgrade","Students graduate in June each year. => Học sinh tốt nghiệp vào tháng sáu mỗi năm.|We plan to upgrade the lab next month. => Chúng tôi dự định nâng cấp phòng thí nghiệm vào tháng tới.","/grad/"
"fer","to carry => mang; chuyển","transfer|prefer|refer|offer|conference","Please transfer the file to my laptop. => Hãy chuyển tệp sang laptop của tôi.|I prefer tea when the weather is cold. => Tôi thích trà khi thời tiết lạnh.","/fer/"
"voc","to call => gọi; lên tiếng","vocal|vocabulary|invoke|revoke|advocate","A rich vocabulary makes writing stronger. => Vốn từ vựng phong phú giúp bài viết tốt hơn.|Parents advocate for safer school streets. => Phụ huynh lên tiếng ủng hộ đường đến trường an toàn hơn.","/vohk/"
"cur","to run => chạy; diễn ra","current|occur|recur|cursor|courier","The river current is strong today. => Dòng chảy của con sông hôm nay rất mạnh.|The same error may recur next week. => Lỗi tương tự có thể tái diễn vào tuần tới.","/kur/"
