Question Type,Question,Correct Answer,Explanation,Option A,Option B,Option C,Option D
multiple_choice,"Từ nào thuộc root ""port"" có nghĩa gần nhất với ""vận chuyển từ nơi này sang nơi khác""?",transport,"""transport"" diễn tả hành động chở hoặc vận chuyển.",transport,respect,predict,credible
multiple_choice,"Từ nào thuộc root ""port"" có nghĩa là ""dễ mang theo""?",portable,"""portable"" dùng cho vật có thể mang theo dễ dàng.",portable,passport,portfolio,porter
multiple_choice,"Từ nào phù hợp nhất với nghĩa ""nhập khẩu; đưa vào""?",import,"""import"" là đưa hàng hóa hoặc dữ liệu từ nơi khác vào.",support,import,export,report
multiple_choice,"Từ nào thuộc root ""port"" mang nghĩa ""xuất khẩu; đưa ra ngoài""?",export,"""export"" là gửi hàng hóa ra thị trường hoặc quốc gia khác.",export,transport,teleport,passport
multiple_choice,"Từ nào gần nghĩa nhất với ""hỗ trợ; nâng đỡ""?",support,"""support"" là nâng đỡ hoặc giúp đỡ một người hay sự vật.",support,report,import,porter
multiple_choice,"Người mang hành lý ở khách sạn hoặc nhà ga được gọi là gì?",porter,"""porter"" là người khuân vác hoặc mang hành lý.",portable,porter,portfolio,passport
text,"Điền từ còn thiếu: Please _____ the issue before noon.",report,"""report"" trong ngữ cảnh này nghĩa là báo cáo hoặc trình bày lại thông tin.",,,,
text,"Viết từ thuộc root ""port"" chỉ hành động dịch chuyển tức thời trong game hoặc truyện khoa học viễn tưởng.",teleport,"""teleport"" là dịch chuyển tức thời qua khoảng cách lớn.",,,,
text,"Viết từ thuộc root ""port"" có nghĩa là ""hộ chiếu"".",passport,"""passport"" là giấy tờ đi lại chính thức khi xuất nhập cảnh.",,,,
text,"Viết từ thuộc root ""port"" chỉ hồ sơ năng lực hoặc danh mục đầu tư.",portfolio,"""portfolio"" có thể là hồ sơ năng lực hoặc tập hợp tài sản đầu tư.",,,,
