root,meaning,description,level,tags,word,part_of_speech,pronunciation,meaning_en,meaning_vi,english_sentence,vietnamese_sentence,usage_context,is_daily_usage,is_published
spect,nhìn; xem,"Gốc từ liên quan đến việc nhìn, quan sát và suy xét.",basic,"daily-use,academic,observation",inspect,verb,/in-spekt/,to look at closely,kiểm tra kỹ,"Please inspect the report before sending it.","Hãy kiểm tra báo cáo trước khi gửi.",workplace,true,true
spect,nhìn; xem,"Gốc từ liên quan đến việc nhìn, quan sát và suy xét.",basic,"daily-use,academic,observation",spectator,noun,/spek-tey-ter/,a person who watches an event,khán giả,"A spectator recorded the winning goal.","Một khán giả đã quay lại bàn thắng quyết định.",sports,true,true
spect,nhìn; xem,"Gốc từ liên quan đến việc nhìn, quan sát và suy xét.",basic,"daily-use,academic,observation",retrospect,noun,/ret-ruh-spekt/,reflection on past events,nhìn lại; hồi tưởng,"In retrospect the plan was too risky.","Nhìn lại thì kế hoạch đó quá rủi ro.",reflection,true,true
spect,nhìn; xem,"Gốc từ liên quan đến việc nhìn, quan sát và suy xét.",basic,"daily-use,academic,observation",prospect,noun,/pros-pekt/,a future possibility or outlook,triển vọng,"The job prospect looks better this month.","Triển vọng công việc tốt hơn trong tháng này.",career,true,true
spect,nhìn; xem,"Gốc từ liên quan đến việc nhìn, quan sát và suy xét.",basic,"daily-use,academic,observation",respect,noun,/ri-spekt/,admiration or regard,tôn trọng,"Students respect teachers who are fair.","Học sinh tôn trọng những giáo viên công bằng.",classroom,true,true
spect,nhìn; xem,"Gốc từ liên quan đến việc nhìn, quan sát và suy xét.",basic,"daily-use,academic,observation",spectacle,noun,/spek-tuh-kuhl/,something impressive to look at,cảnh tượng,"The opening ceremony was a bright spectacle.","Lễ khai mạc là một cảnh tượng rực rỡ.",events,false,true
spect,nhìn; xem,"Gốc từ liên quan đến việc nhìn, quan sát và suy xét.",basic,"daily-use,academic,observation",spectrum,noun,/spek-truhm/,a range or series,phổ; dải,"The course covers a broad spectrum of topics.","Khóa học bao quát một phổ chủ đề rộng.",education,false,true
spect,nhìn; xem,"Gốc từ liên quan đến việc nhìn, quan sát và suy xét.",basic,"daily-use,academic,observation",perspective,noun,/per-spek-tiv/,a point of view,góc nhìn,"Her perspective helped us solve the issue.","Góc nhìn của cô ấy giúp chúng tôi giải quyết vấn đề.",teamwork,true,true
spect,nhìn; xem,"Gốc từ liên quan đến việc nhìn, quan sát và suy xét.",basic,"daily-use,academic,observation",introspect,verb,/in-truh-spekt/,to examine one's own thoughts,tự xem xét nội tâm,"He pauses each evening to introspect.","Anh ấy dành ít phút mỗi tối để tự xem xét bản thân.",self-study,false,true
spect,nhìn; xem,"Gốc từ liên quan đến việc nhìn, quan sát và suy xét.",basic,"daily-use,academic,observation",circumspect,adjective,/sur-kum-spekt/,careful to consider risks,thận trọng,"The team stayed circumspect before signing.","Cả nhóm giữ thái độ thận trọng trước khi ký.",business,false,true
port,mang; vận chuyển,"Gốc từ liên quan đến việc mang, vận chuyển, hỗ trợ và truyền tải.",basic,"daily-use,travel,logistics",transport,verb,/trans-port/,to carry from one place to another,vận chuyển,"This company can transport goods overnight.","Công ty này có thể vận chuyển hàng hóa qua đêm.",logistics,true,true
port,mang; vận chuyển,"Gốc từ liên quan đến việc mang, vận chuyển, hỗ trợ và truyền tải.",basic,"daily-use,travel,logistics",portable,adjective,/por-tuh-buhl/,easy to carry,dễ mang theo,"I need a portable speaker for weekend trips.","Tôi cần một loa dễ mang theo cho chuyến đi cuối tuần.",travel,true,true
port,mang; vận chuyển,"Gốc từ liên quan đến việc mang, vận chuyển, hỗ trợ và truyền tải.",basic,"daily-use,travel,logistics",import,verb,/im-port/,to bring in from another place,nhập khẩu; nhập vào,"The store will import new coffee beans next week.","Cửa hàng sẽ nhập lô hạt cà phê mới vào tuần tới.",business,true,true
port,mang; vận chuyển,"Gốc từ liên quan đến việc mang, vận chuyển, hỗ trợ và truyền tải.",basic,"daily-use,travel,logistics",export,verb,/eks-port/,to send goods out to another place,xuất khẩu; xuất ra,"The factory exports rice to many markets.","Nhà máy xuất khẩu gạo đến nhiều thị trường.",trade,true,true
port,mang; vận chuyển,"Gốc từ liên quan đến việc mang, vận chuyển, hỗ trợ và truyền tải.",basic,"daily-use,travel,logistics",support,verb,/suh-port/,to hold up or help,hỗ trợ; nâng đỡ,"Good shoes support your feet all day.","Giày tốt nâng đỡ bàn chân của bạn suốt cả ngày.",health,true,true
port,mang; vận chuyển,"Gốc từ liên quan đến việc mang, vận chuyển, hỗ trợ và truyền tải.",basic,"daily-use,travel,logistics",report,verb,/ri-port/,to carry information back,báo cáo; tường trình,"Please report the issue before noon.","Hãy báo cáo sự cố trước buổi trưa.",workplace,true,true
port,mang; vận chuyển,"Gốc từ liên quan đến việc mang, vận chuyển, hỗ trợ và truyền tải.",basic,"daily-use,travel,logistics",porter,noun,/por-ter/,a person who carries luggage,người khuân vác,"The porter carried our bags to the lobby.","Người khuân vác đã mang hành lý của chúng tôi vào sảnh.",travel,false,true
port,mang; vận chuyển,"Gốc từ liên quan đến việc mang, vận chuyển, hỗ trợ và truyền tải.",basic,"daily-use,travel,logistics",teleport,verb,/tel-uh-port/,to move instantly across distance,dịch chuyển tức thời,"The game lets players teleport across the map.","Trò chơi cho phép người chơi dịch chuyển tức thời khắp bản đồ.",gaming,false,true
port,mang; vận chuyển,"Gốc từ liên quan đến việc mang, vận chuyển, hỗ trợ và truyền tải.",basic,"daily-use,travel,logistics",passport,noun,/pas-port/,an official travel document,hộ chiếu,"Keep your passport in a safe pocket.","Hãy giữ hộ chiếu trong một ngăn an toàn.",travel,true,true
port,mang; vận chuyển,"Gốc từ liên quan đến việc mang, vận chuyển, hỗ trợ và truyền tải.",basic,"daily-use,travel,logistics",portfolio,noun,/port-foh-lee-oh/,a collection carried together for review,hồ sơ năng lực; danh mục đầu tư,"She shared her design portfolio with the team.","Cô ấy đã chia sẻ hồ sơ năng lực thiết kế của mình với cả nhóm.",career,true,true
cred,tin; tín nhiệm,"Gốc từ liên quan đến niềm tin, uy tín và sự đáng tin cậy.",basic,"daily-use,communication,trust",credible,adjective,/kred-uh-buhl/,able to be believed,đáng tin,"The witness gave a credible explanation.","Nhân chứng đã đưa ra một lời giải thích đáng tin.",communication,true,true
cred,tin; tín nhiệm,"Gốc từ liên quan đến niềm tin, uy tín và sự đáng tin cậy.",basic,"daily-use,communication,trust",credit,noun,/kred-it/,trust or praise given for something,sự ghi nhận; tín dụng,"She earned credit for solving the issue quickly.","Cô ấy được ghi nhận vì giải quyết sự cố nhanh chóng.",workplace,true,true
cred,tin; tín nhiệm,"Gốc từ liên quan đến niềm tin, uy tín và sự đáng tin cậy.",basic,"daily-use,communication,trust",creed,noun,/kreed/,a set of beliefs,tín điều,"The team follows a simple creed of honesty.","Cả đội theo đuổi một tín điều đơn giản về sự trung thực.",culture,false,true
cred,tin; tín nhiệm,"Gốc từ liên quan đến niềm tin, uy tín và sự đáng tin cậy.",basic,"daily-use,communication,trust",credential,noun,/kri-den-shuhl/,proof of qualification,chứng chỉ; năng lực xác thực,"Your teaching credential is valid for another year.","Chứng chỉ giảng dạy của bạn còn hiệu lực thêm một năm.",education,false,true
cred,tin; tín nhiệm,"Gốc từ liên quan đến niềm tin, uy tín và sự đáng tin cậy.",basic,"daily-use,communication,trust",credence,noun,/kree-duhns/,belief that something is true,sự tin tưởng,"Few people gave credence to the rumor.","Rất ít người tin vào tin đồn đó.",media,false,true
cred,tin; tín nhiệm,"Gốc từ liên quan đến niềm tin, uy tín và sự đáng tin cậy.",basic,"daily-use,communication,trust",credulous,adjective,/krej-uh-luhs/,too ready to believe,cả tin,"Young readers should not be credulous online.","Người đọc trẻ không nên quá cả tin trên mạng.",digital,false,true
cred,tin; tín nhiệm,"Gốc từ liên quan đến niềm tin, uy tín và sự đáng tin cậy.",basic,"daily-use,communication,trust",discredit,verb,/dis-kred-it/,to harm trust in someone or something,làm mất uy tín,"False claims can discredit a good project.","Những lời cáo buộc sai có thể làm mất uy tín của một dự án tốt.",workplace,true,true
cred,tin; tín nhiệm,"Gốc từ liên quan đến niềm tin, uy tín và sự đáng tin cậy.",basic,"daily-use,communication,trust",accredit,verb,/uh-kred-it/,to officially recognize,công nhận; cấp chứng nhận,"The board will accredit the course this spring.","Hội đồng sẽ công nhận khóa học này vào mùa xuân.",education,false,true
cred,tin; tín nhiệm,"Gốc từ liên quan đến niềm tin, uy tín và sự đáng tin cậy.",basic,"daily-use,communication,trust",credibility,noun,/kred-uh-bil-i-tee/,the quality of being trusted,độ tin cậy,"Clear data improves the credibility of the report.","Dữ liệu rõ ràng làm tăng độ tin cậy của bản báo cáo.",analysis,true,true
cred,tin; tín nhiệm,"Gốc từ liên quan đến niềm tin, uy tín và sự đáng tin cậy.",basic,"daily-use,communication,trust",credo,noun,/kree-doh/,a guiding belief,niềm tin cốt lõi; phương châm,"Her personal credo is to learn a little every day.","Phương châm sống của cô ấy là học một ít mỗi ngày.",self-study,true,true
dict,nói; ra lệnh,"Gốc từ liên quan đến việc nói, đọc, tuyên bố và ra lệnh.",basic,"daily-use,communication,academic",dictate,verb,/dik-teyt/,to say aloud for someone to write,đọc cho viết; ra lệnh,"The teacher will dictate the answer slowly.","Giáo viên sẽ đọc đáp án chậm rãi.",classroom,true,true
