Question Type,Question,Correct Answer,Explanation,Option A,Option B,Option C,Option D
multiple_choice,"Từ nào thuộc root ""cred"" có nghĩa là ""phương châm cốt lõi; niềm tin dẫn đường""?",credo,"""credo"" là một niềm tin cốt lõi hoặc phương châm sống.",credit,creed,credo,credence
multiple_choice,"Từ nào thuộc root ""cred"" có nghĩa là ""sự ghi nhận; tín dụng""?",credit,"""credit"" có thể là sự ghi nhận công lao hoặc tín dụng.",creed,credit,credence,credo
multiple_choice,"Từ nào thuộc root ""cred"" có nghĩa là ""tín điều""?",creed,"""creed"" là hệ niềm tin hoặc tín điều được theo đuổi.",credential,creed,credible,credibility
multiple_choice,"Từ nào phù hợp nhất với nghĩa ""chứng chỉ; thông tin xác thực""?",credential,"""credential"" là chứng chỉ hoặc dữ liệu xác thực năng lực.",credence,credential,credit,credible
multiple_choice,"Từ nào gần nghĩa nhất với ""sự tin tưởng rằng điều gì đó là đúng""?",credence,"""credence"" chỉ mức độ tin tưởng dành cho một nhận định hoặc nguồn tin.",credence,credulous,discredit,accredit
multiple_choice,"Người quá dễ tin vào mọi điều thường được mô tả bằng từ nào?",credulous,"""credulous"" nghĩa là cả tin hoặc quá dễ tin.",credible,credulous,credibility,credit
text,"Viết từ thuộc root ""cred"" có nghĩa là ""đáng tin"".",credible,"""credible"" dùng cho người, lời giải thích hoặc thông tin có thể tin được.",,,,
text,"Viết động từ thuộc root ""cred"" có nghĩa là làm mất uy tín của ai đó hoặc điều gì đó.",discredit,"""discredit"" là làm giảm hoặc làm mất sự tin tưởng.",,,,
text,"Viết động từ thuộc root ""cred"" có nghĩa là công nhận chính thức.",accredit,"""accredit"" là trao sự công nhận chính thức cho tổ chức, khóa học hoặc cá nhân.",,,,
text,"Viết danh từ thuộc root ""cred"" có nghĩa là ""độ tin cậy"".",credibility,"""credibility"" là chất lượng khiến người khác tin tưởng.",,,,
