Question Type,Question,Correct Answer,Explanation,Option A,Option B,Option C,Option D
multiple_choice,"Từ nào thuộc root ""dict"" có nghĩa gần nhất với ""đọc cho người khác viết""?",dictate,"""dictate"" vừa có thể là đọc cho viết, vừa có thể là ra lệnh.",dictate,edict,dictionary,contradict
multiple_choice,"Từ nào thuộc root ""dict"" có nghĩa là ""từ điển""?",dictionary,"""dictionary"" là sách hoặc nguồn tra cứu nghĩa của từ.",dictionary,dictation,predict,verdict
multiple_choice,"Từ nào phù hợp nhất với nghĩa ""dự đoán""?",predict,"""predict"" là nói trước điều có thể xảy ra.",dedicate,predict,indicate,edict
multiple_choice,"Từ nào thuộc root ""dict"" có nghĩa là ""phán quyết""?",verdict,"""verdict"" là quyết định chính thức, thường dùng trong bối cảnh pháp lý.",verdict,dictator,dictation,contradict
multiple_choice,"Từ nào gần nghĩa nhất với ""chỉ ra; cho thấy""?",indicate,"""indicate"" là chỉ ra hoặc làm cho điều gì đó trở nên rõ ràng.",indicate,predict,dedicate,edict
multiple_choice,"Nếu ai đó dành trọn công sức cho một mục tiêu, từ nào phù hợp nhất?",dedicate,"""dedicate"" là cống hiến hoặc dành cho một mục đích cụ thể.",dedicate,dictate,dictionary,verdict
text,"Viết danh từ thuộc root ""dict"" có nghĩa là ""sắc lệnh chính thức"".",edict,"""edict"" là mệnh lệnh hoặc sắc lệnh mang tính chính thức.",,,,
text,"Viết danh từ thuộc root ""dict"" chỉ bài nghe chép chính tả.",dictation,"""dictation"" là hoạt động nghe và chép lại lời đọc.",,,,
text,"Viết động từ thuộc root ""dict"" có nghĩa là ""mâu thuẫn; bác bỏ bằng lời nói ngược lại"".",contradict,"""contradict"" là nói điều trái ngược với một phát biểu khác.",,,,
text,"Viết danh từ thuộc root ""dict"" chỉ một nhà cầm quyền độc đoán có quyền lực tuyệt đối.",dictator,"""dictator"" là nhà độc tài hoặc người cai trị tuyệt đối.",,,,
