Question Type,Question,Correct Answer,Explanation,Option A,Option B,Option C,Option D
multiple_choice,"Root ""spect"" gợi đến ý nghĩa nào gần nhất?",nhìn; xem,"""spect"" thường gợi đến hành động nhìn hoặc quan sát.",nhìn; xem,nói; ra lệnh,viết,mang; vận chuyển
multiple_choice,"Từ nào phù hợp nhất với nghĩa ""kiểm tra kỹ""?",inspect,"""inspect"" là từ phù hợp nhất với nghĩa kiểm tra kỹ.",inspect,report,transport,predict
multiple_choice,"Câu nào là bản dịch đúng hơn của ""A spectator stayed calm during the match.""?",Một khán giả đã giữ bình tĩnh trong trận đấu.,"""spectator"" nghĩa là khán giả, nên đáp án đúng là câu dịch nói về một khán giả.",Một khán giả đã giữ bình tĩnh trong trận đấu.,Một giáo viên đã giữ bình tĩnh trong trận đấu.,Một bản báo cáo đã được gửi trong trận đấu.,Một hành khách đã rời ga trong trận đấu.
multiple_choice,"Từ nào KHÔNG thuộc nhóm từ gắn với root ""spect""?",portable,"""portable"" thuộc root ""port"", không phải ""spect"".",retrospect,perspective,portable,spectacle
multiple_choice,"Từ nào gần nghĩa nhất với ""góc nhìn""?",perspective,"""perspective"" nghĩa là góc nhìn hoặc quan điểm.",spectator,respect,perspective,introspect
multiple_choice,"Nếu cần nhìn lại một sự kiện trong quá khứ, từ nào phù hợp nhất?",retrospect,"""retrospect"" diễn tả việc nhìn lại quá khứ.",prospect,retrospect,inspect,spectrum
text,"Điền từ còn thiếu: Please _____ the report before sending it.",inspect,"Câu quen thuộc với root spect là ""Please inspect the report before sending it.""",,,,
text,"Viết nghĩa tiếng Việt ngắn gọn của root ""spect"".",nhìn; xem,"Nghĩa cốt lõi của root ""spect"" là nhìn; xem.",,,,
text,"Viết một từ thuộc root ""spect"" có nghĩa gần với ""góc nhìn"".",perspective,"Một đáp án mẫu phù hợp là ""perspective"".",,,,
text,"Viết từ chỉ hành động nhìn lại quá khứ trong nhóm ""spect"".",retrospect,"Một đáp án mẫu phù hợp là ""retrospect"".",,,,
